,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Mauritius,MUS,0.03,0.32,2,58.06,36.56,72.58,0.34,0.24,4,65.98,54.64,76.8,0.38,0.22,5,68.53,57.87,77.16,0.46,0.19,6,71.72,61.11,77.78,0.3,0.18,7,64.65,58.59,75.25,0.25,0.17,8,61.46,55.61,72.2,0.32,0.17,8,64.39,57.07,71.22,0.35,0.16,9,66.34,59.51,72.68,0.44,0.16,9,70.87,60.19,74.27,0.52,0.16,9,71.84,63.11,74.27,0.54,0.17,9,72.25,65.07,74.64,0.56,0.17,9,72.38,63.81,77.14,0.54,0.16,11,71.56,64.45,75.83,0.3,0.17,11,65.4,59.72,72.04,0.29,0.17,12,64.93,59.24,70.62,0.35,0.17,12,65.87,58.65,71.63,0.3,0.16,13,65.87,58.17,68.75,0.21,0.17,13,62.98,55.77,67.31,0.2,0.17,12,62.02,54.81,67.31
Malawi,MWI,-0.32,0.26,4,47.31,26.34,60.75,-0.25,0.21,6,47.42,32.47,59.28,-0.27,0.22,6,47.21,31.47,59.39,-0.96,0.19,7,18.18,4.55,31.82,-0.73,0.18,9,27.27,11.62,40.4,-0.77,0.16,10,25.37,14.15,35.61,-0.71,0.16,11,27.8,17.07,41.95,-0.55,0.16,12,36.1,21.46,46.34,-0.51,0.18,12,36.41,20.87,50.97,-0.45,0.16,13,38.35,27.18,53.4,-0.4,0.16,13,40.67,27.27,54.55,-0.49,0.16,14,38.1,24.76,52.38,-0.42,0.16,14,40.76,27.01,54.03,-0.47,0.14,15,38.39,27.96,50.24,-0.61,0.14,15,33.65,21.33,43.6,-0.75,0.14,13,25.96,14.9,36.06,-0.76,0.14,14,24.04,13.94,34.13,-0.75,0.14,14,23.56,13.46,33.17,-0.65,0.13,14,28.37,18.27,41.83
Malaysia,MYS,0.38,0.19,7,66.13,59.14,74.73,0.45,0.17,8,68.04,61.34,76.8,0.34,0.16,8,65.99,58.88,73.6,0.27,0.16,8,64.14,59.6,72.73,0.34,0.15,10,68.69,61.11,75.25,0.34,0.14,12,65.85,58.05,72.2,0.2,0.14,12,59.51,56.1,67.32,0.23,0.13,14,62.44,57.56,70.24,0.19,0.14,14,61.65,56.8,70.39,-0.05,0.14,14,56.8,48.54,61.65,-0.06,0.13,14,56.94,49.28,62.2,0.09,0.13,15,60.95,54.29,65.24,0.03,0.14,16,57.82,53.08,63.98,0.24,0.13,16,63.98,59.72,70.14,0.35,0.13,15,67.3,62.09,70.62,0.41,0.12,13,66.83,61.54,70.67,0.24,0.12,14,63.46,58.17,67.31,0.1,0.13,14,60.1,53.85,65.38,0.03,0.12,13,58.17,49.52,62.5
Namibia,NAM,0.81,0.26,4,76.88,65.05,84.41,0.69,0.21,6,76.29,65.98,82.47,0.58,0.22,6,73.1,62.44,82.74,0.11,0.18,8,61.11,52.53,70.2,0.24,0.18,9,62.63,57.07,72.73,0.16,0.16,10,60,53.66,68.29,0.2,0.16,10,60,55.12,67.32,0.24,0.17,10,63.41,56.1,71.71,0.32,0.17,11,66.99,58.25,72.33,0.61,0.17,10,73.79,66.02,78.16,0.3,0.16,12,66.51,59.33,72.25,0.34,0.15,12,67.62,60.48,72.38,0.31,0.15,12,66.35,58.29,71.56,0.34,0.15,11,66.82,60.66,72.04,0.33,0.15,12,66.35,60.19,70.62,0.29,0.15,12,64.42,57.69,69.71,0.32,0.14,14,66.35,60.1,68.27,0.33,0.15,14,65.87,59.62,70.19,0.32,0.13,13,64.9,59.13,69.71
Niger,NER,-0.87,0.32,3,20.97,2.69,45.7,-0.98,0.27,5,17.53,1.03,35.05,-0.88,0.27,5,21.83,4.06,38.58,-0.99,0.26,5,15.66,1.01,33.84,-0.93,0.23,6,16.67,5.56,34.85,-0.82,0.2,7,22.44,10.73,36.59,-0.72,0.2,7,26.34,14.63,43.41,-0.85,0.18,9,20,10.24,34.63,-0.75,0.18,9,24.76,14.08,37.38,-0.72,0.18,9,27.18,15.53,39.32,-0.61,0.17,10,31.1,20.1,44.98,-0.66,0.17,10,29.52,17.62,42.38,-0.64,0.16,11,29.38,18.96,43.13,-0.64,0.15,11,30.81,18.96,42.65,-0.61,0.16,12,33.18,21.33,45.02,-0.69,0.15,12,28.85,15.87,40.87,-0.64,0.15,13,30.77,18.75,42.31,-0.63,0.15,13,31.73,16.83,42.31,-0.65,0.14,13,28.85,17.79,41.83
Nigeria,NGA,-1.19,0.26,4,8.6,0,25.81,-1.16,0.21,6,11.34,0.52,24.74,-1.22,0.2,7,6.6,0.51,20.3,-1.43,0.18,8,0.51,0,9.6,-1.36,0.18,10,4.55,0,10.61,-1.34,0.16,12,6.34,0.98,12.68,-1.16,0.16,12,12.2,2.44,18.05,-1.12,0.15,15,10.73,3.9,19.51,-1.05,0.15,15,14.08,5.34,20.87,-0.89,0.15,15,19.42,11.17,30.1,-1.03,0.15,15,16.27,5.26,23.44,-1.05,0.15,15,15.24,4.29,21.9,-1.17,0.14,16,10.9,2.37,18.48,-1.17,0.13,16,10.9,2.37,18.01,-1.22,0.13,16,9.48,1.42,15.64,-1.27,0.13,15,8.17,2.88,12.98,-1.08,0.13,15,12.5,7.21,19.23,-1.03,0.13,15,13.46,9.62,21.63,-1.07,0.13,15,12.5,9.13,18.27
Nicaragua,NIC,-0.56,0.24,5,33.87,17.74,51.08,-0.89,0.22,5,21.65,6.7,35.05,-1.01,0.21,6,14.72,3.55,30.46,-0.48,0.19,7,37.88,26.77,52.53,-0.48,0.18,9,37.88,24.75,52.02,-0.4,0.17,11,41.95,27.8,53.66,-0.61,0.17,12,33.66,19.02,46.34,-0.67,0.17,14,29.27,18.05,40,-0.77,0.17,14,23.79,14.08,36.89,-0.76,0.17,13,24.76,14.56,37.86,-0.72,0.16,14,25.36,17.7,38.28,-0.75,0.16,14,24.29,16.19,37.62,-0.73,0.16,14,23.7,17.54,39.34,-0.77,0.14,15,25.12,15.64,35.07,-0.74,0.14,14,25.59,16.59,37.44,-0.89,0.14,13,19.71,12.5,29.81,-0.89,0.14,13,18.75,12.02,28.85,-0.87,0.14,13,18.27,12.02,31.25,-0.87,0.13,14,18.27,12.02,26.92
Niue,NIU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.58,0.6,1,33.01,0.48,69.38,-0.46,0.6,1,39.52,2.38,71.9,-0.44,0.6,1,40.28,2.37,71.56,-0.44,0.62,1,40.76,0.95,72.04,-0.42,0.68,1,40.76,0.47,73.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Netherlands,NLD,2.08,0.21,6,96.77,93.01,100,2.15,0.19,6,97.42,92.27,100,2.21,0.2,6,96.95,93.4,100,2.12,0.18,6,96.46,92.42,99.49,2.05,0.19,6,95.96,91.92,98.99,2,0.17,7,95.61,91.71,98.05,1.97,0.17,7,96.1,92.68,98.54,2.05,0.18,8,96.1,92.2,99.02,2.17,0.19,8,97.09,93.2,100,2.12,0.18,8,96.6,93.2,100,2.13,0.17,9,97.61,93.78,99.52,2.14,0.17,9,97.62,93.81,100,2.12,0.16,10,97.16,94.31,99.53,2.12,0.15,10,96.21,94.31,99.53,2.05,0.15,10,96.21,93.84,98.1,1.99,0.14,9,95.67,93.27,98.56,1.88,0.14,9,94.71,92.31,97.12,1.91,0.15,10,94.71,92.79,97.6,1.87,0.13,10,95.19,92.31,97.12
Norway,NOR,2.14,0.21,6,98.39,93.01,100,2.22,0.19,6,98.45,93.3,100,2.19,0.2,6,96.45,92.89,100,2.17,0.18,6,96.97,92.42,100,2.07,0.19,6,96.46,92.42,98.99,1.94,0.17,7,95.12,91.71,98.05,2.01,0.17,7,96.59,92.68,99.02,2.13,0.16,9,97.07,93.66,99.02,1.99,0.17,9,94.66,91.75,98.54,1.91,0.16,9,94.66,91.75,97.09,1.99,0.17,9,95.22,92.82,99.04,2.09,0.17,9,97.14,93.33,100,2.15,0.16,10,97.63,94.31,100,2.26,0.15,10,98.58,95.73,100,2.29,0.15,10,99.05,96.21,100,2.23,0.14,10,99.04,95.67,100,2.24,0.14,10,99.04,95.67,100,2.2,0.15,9,98.56,95.19,100,2.24,0.14,9,99.52,96.63,100
Nepal,NPL,-0.64,0.34,2,31.72,7.53,53.76,-0.74,0.3,3,29.9,7.22,46.91,-0.67,0.27,4,30.96,10.15,48.22,-0.36,0.29,4,43.94,24.75,60.61,-0.46,0.24,6,40.4,21.21,56.57,-0.87,0.19,8,20.98,10.24,34.63,-0.74,0.19,8,24.39,14.15,42.44,-0.69,0.2,10,28.78,16.59,40.98,-0.79,0.2,10,22.82,10.68,37.86,-0.81,0.2,10,21.84,11.17,37.86,-0.7,0.17,12,25.84,17.7,40.19,-0.69,0.17,13,27.62,16.67,41.43,-0.78,0.16,13,23.22,15.64,36.97,-0.81,0.16,13,22.75,12.8,35.07,-0.69,0.15,13,28.44,18.01,39.81,-0.59,0.15,12,33.17,21.63,46.63,-0.58,0.16,12,32.21,20.67,46.63,-0.8,0.16,11,22.12,12.5,32.69,-0.75,0.16,11,23.56,14.42,38.94
Nauru,NRU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.35,0.75,1,44.17,0.49,77.67,-0.32,0.85,1,45.63,0,82.04,-0.4,0.83,1,42.11,0,79.43,0.01,0.85,1,58.1,2.38,89.05,-0.04,0.9,1,56.87,1.42,89.1,-0.02,0.94,1,58.77,0,90.52,-0.64,0.73,1,31.28,0,70.62,-0.47,0.89,1,37.98,0,79.81,-0.52,0.85,1,36.06,0,77.4,-0.43,0.99,1,39.42,0,84.62,-0.47,0.96,1,40.87,0,82.21
New Zealand,NZL,2.11,0.21,6,97.85,93.01,100,2.21,0.19,6,97.94,93.3,100,2.25,0.2,6,97.97,93.4,100,2.32,0.18,6,98.48,93.94,100,2.35,0.19,6,98.99,95.45,100,2.38,0.18,6,99.02,97.07,100,2.2,0.17,6,98.54,94.63,100,2.33,0.16,8,99.02,96.1,100,2.33,0.17,8,99.03,96.12,100,2.31,0.17,8,98.54,95.63,100,2.39,0.17,8,99.52,97.13,100,2.34,0.17,9,99.52,95.71,100,2.3,0.16,10,99.53,95.26,100,2.32,0.15,10,99.53,95.73,100,2.34,0.15,10,99.53,96.68,100,2.25,0.14,10,100,95.67,100,2.28,0.14,10,100,95.67,100,2.28,0.15,9,100,96.15,100,2.24,0.14,9,100,96.63,100
Oman,OMN,0.41,0.26,4,67.74,56.99,77.42,0.76,0.23,4,77.32,67.53,84.02,0.8,0.26,4,78.17,67.01,85.28,0.93,0.2,5,81.82,74.75,85.86,0.59,0.24,4,75.25,62.12,81.82,0.67,0.23,4,75.12,63.9,83.41,0.39,0.2,5,66.83,58.05,73.66,0.35,0.22,5,67.32,56.59,74.15,0.35,0.2,6,68.45,57.77,74.27,0.52,0.2,6,72.33,62.14,77.18,0.33,0.18,7,67.94,59.33,72.73,0.32,0.18,7,66.19,58.57,72.38,0.14,0.17,7,62.09,54.03,69.67,0.18,0.17,7,63.03,56.4,70.14,0.16,0.17,7,63.03,54.5,68.72,0.31,0.16,7,65.38,57.69,70.67,0.27,0.16,7,64.9,57.21,68.27,0.34,0.17,7,66.35,59.13,70.19,0.25,0.16,6,63.46,56.73,68.27
Pakistan,PAK,-1.22,0.26,4,7.53,0,25.27,-1.05,0.22,5,13.92,1.03,31.44,-0.84,0.22,6,24.37,6.6,36.04,-0.91,0.2,6,21.21,5.56,32.83,-0.76,0.18,9,25.76,11.11,39.39,-1.08,0.17,11,13.17,5.37,22.93,-1.05,0.16,11,14.15,5.37,22.93,-0.81,0.15,14,21.95,14.15,34.63,-0.82,0.16,14,20.87,12.62,34.47,-0.9,0.16,14,18.93,10.68,31.07,-1.07,0.16,14,14.83,3.83,22.01,-1.09,0.16,14,13.81,3.33,20.95,-1.08,0.15,15,14.69,4.74,20.85,-1.06,0.14,15,14.22,4.74,21.33,-0.96,0.14,14,17.54,9.95,26.07,-0.83,0.14,13,22.12,13.46,31.73,-0.81,0.14,13,21.63,13.46,31.73,-0.88,0.14,13,17.31,12.02,31.25,-0.78,0.13,13,22.6,14.9,31.73
Panama,PAN,-0.2,0.26,4,50.54,31.72,62.9,-0.08,0.22,5,54.12,40.72,63.92,-0.32,0.21,6,45.18,30.96,57.87,-0.3,0.19,7,46.46,32.32,59.09,-0.35,0.18,8,45.45,30.81,57.07,-0.27,0.17,10,49.76,34.63,56.1,-0.35,0.17,11,45.37,31.22,54.63,-0.32,0.17,12,43.41,32.2,56.1,-0.3,0.18,12,48.06,33.5,56.8,-0.09,0.17,12,54.85,42.23,62.14,-0.3,0.16,13,48.33,33.97,58.37,-0.32,0.16,13,47.14,32.38,56.67,-0.32,0.16,13,48.34,33.65,56.4,-0.36,0.14,13,45.02,33.18,54.98,-0.35,0.14,13,45.5,34.6,54.5,-0.34,0.14,12,46.15,33.17,53.85,-0.37,0.14,12,44.23,31.73,53.37,-0.49,0.14,13,35.58,24.52,48.08,-0.54,0.13,13,35.1,23.56,44.71
Palau,PLW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.32,0.85,1,45.63,0,82.04,-0.4,0.83,1,42.11,0,79.43,-0.5,0.85,1,37.62,0,78.57,-0.53,0.9,1,36.02,0,78.67,-0.43,0.94,1,41.23,0,82.94,-0.64,0.73,1,31.28,0,70.62,-0.47,0.89,1,37.98,0,79.81,-0.52,0.85,1,36.06,0,77.4,-0.43,0.99,1,39.42,0,84.62,-0.47,0.96,1,40.87,0,82.21
Peru,PER,-0.4,0.24,5,41.94,25.27,57.53,-0.37,0.19,6,43.81,31.44,54.64,-0.39,0.21,6,41.62,27.92,57.36,-0.27,0.19,7,47.47,32.83,59.6,-0.08,0.18,8,56.57,42.93,62.12,-0.32,0.17,11,45.85,31.22,54.63,-0.33,0.17,11,46.83,33.66,55.12,-0.2,0.15,14,50.73,38.54,59.02,-0.25,0.16,15,50,36.89,57.77,-0.19,0.14,16,53.4,39.32,59.71,-0.31,0.15,16,47.37,33.97,56.46,-0.23,0.15,16,51.9,38.1,58.1,-0.22,0.14,17,52.13,39.34,57.35,-0.37,0.13,17,43.6,33.18,53.55,-0.42,0.13,16,41.23,31.28,51.66,-0.56,0.13,15,34.13,23.56,44.23,-0.53,0.13,15,34.62,24.52,46.63,-0.37,0.13,15,43.27,32.21,52.4,-0.5,0.12,15,38.94,25.96,45.67
Philippines,PHL,-0.36,0.19,7,45.7,30.65,54.3,-0.29,0.17,8,45.88,33.51,54.64,-0.51,0.16,8,35.53,26.4,47.21,-0.5,0.16,8,36.87,27.27,47.98,-0.58,0.15,9,34.34,21.72,45.45,-0.65,0.14,12,28.78,20.49,40.49,-0.62,0.14,12,32.2,20.98,42.93,-0.83,0.13,15,21.46,14.63,32.2,-0.72,0.14,15,27.67,18.45,36.89,-0.76,0.13,15,25.24,16.5,34.95,-0.77,0.13,15,24.4,17.7,33.97,-0.76,0.13,15,23.33,16.67,34.76,-0.67,0.14,16,27.96,19.43,39.81,-0.56,0.13,16,35.07,25.12,45.02,-0.38,0.13,15,43.6,34.6,54.03,-0.44,0.12,14,40.38,29.81,50.96,-0.45,0.12,14,39.9,29.33,50,-0.49,0.13,13,36.06,26.92,47.6,-0.48,0.12,13,39.9,26.92,45.67
Papua New Guinea,PNG,-0.43,0.26,4,40.32,22.04,57.53,-0.76,0.22,5,29.38,12.37,42.27,-0.83,0.22,6,25.38,7.11,36.04,-0.91,0.2,6,20.2,5.05,32.83,-0.88,0.2,7,19.7,8.08,34.85,-0.96,0.19,8,15.61,8.78,28.29,-1.13,0.18,8,13.17,2.44,20.98,-1.14,0.19,8,10.24,1.95,21.46,-1.11,0.19,8,11.65,2.91,21.84,-1.15,0.19,8,10.19,2.43,19.42,-1.23,0.2,8,6.7,0.48,19.14,-1.04,0.19,9,15.71,3.33,24.76,-1.02,0.18,9,16.11,4.74,23.7,-0.94,0.17,9,18.48,9.48,28.91,-0.96,0.17,9,17.06,8.53,28.91,-0.91,0.17,9,17.79,9.13,29.81,-0.94,0.17,9,16.35,10.1,28.37,-0.93,0.17,8,15.38,10.1,30.29,-0.9,0.15,8,16.83,12.02,28.37
Poland,POL,0.71,0.21,6,75.81,65.05,81.18,0.82,0.16,8,79.38,71.65,82.99,0.71,0.17,9,76.14,69.54,83.25,0.4,0.15,9,70.2,61.11,75.25,0.42,0.15,10,71.72,62.12,75.25,0.14,0.14,11,59.02,54.15,65.85,0.27,0.13,11,63.41,57.56,67.8,0.27,0.13,13,64.88,59.02,71.22,0.3,0.13,13,65.05,58.25,71.36,0.46,0.13,14,69.9,63.59,73.79,0.45,0.13,14,70.81,64.59,72.73,0.5,0.13,14,71.9,63.81,73.33,0.56,0.13,15,72.04,67.77,72.99,0.66,0.12,15,72.99,70.14,76.78,0.6,0.12,14,71.09,67.3,76.78,0.64,0.12,13,72.6,67.79,76.92,0.67,0.12,13,73.56,67.31,77.4,0.74,0.13,13,75.96,68.75,80.77,0.73,0.12,13,75.96,69.23,80.77
Puerto Rico,PRI,0.42,0.48,1,69.35,44.09,84.41,0.46,0.46,1,69.07,44.85,85.05,0.9,0.47,1,82.23,61.42,92.39,1.35,0.44,1,88.38,74.75,95.45,1.38,0.4,1,88.89,76.26,94.95,1.28,0.4,1,86.83,73.66,94.15,1.28,0.34,1,88.29,73.66,93.17,0.51,0.4,2,71.71,53.17,84.39,0.41,0.31,3,70.39,54.85,79.13,0.42,0.3,3,68.45,54.85,78.64,0.49,0.24,4,71.29,59.81,77.51,0.48,0.25,4,71.43,60.48,78.1,0.44,0.25,4,70.14,57.35,76.78,0.54,0.27,4,71.09,61.14,80.57,0.47,0.26,4,70.14,59.24,77.25,0.46,0.26,4,69.23,57.69,78.85,0.09,0.25,4,60.58,46.63,67.79,0.04,0.3,3,59.13,36.54,68.27,0.14,0.25,3,60.1,46.63,69.71
"Korea, Dem. Rep.",PRK,-1.28,0.32,3,4.84,0,25.81,-1.25,0.32,3,6.7,0,29.9,-1.33,0.34,3,4.06,0,26.4,-1.03,0.32,3,12.63,0,35.86,-1.44,0.26,4,2.53,0,11.62,-1.38,0.2,6,4.39,0,14.15,-1.28,0.2,6,7.8,0.49,17.56,-1.44,0.21,6,2.93,0,12.2,-1.54,0.25,5,1.46,0,10.19,-1.52,0.24,5,1.94,0,11.17,-1.29,0.21,6,5.26,0.48,18.18,-1.28,0.2,6,5.71,0.95,17.14,-1.31,0.2,6,5.21,0,17.54,-1.28,0.18,6,5.69,0,17.06,-1.28,0.19,6,6.64,0,16.11,-1.3,0.19,5,7.69,0.48,14.9,-1.25,0.18,6,9.13,1.92,14.9,-1.44,0.18,6,5.29,0,12.02,-1.48,0.16,6,4.81,0,10.1
Portugal,PRT,1.37,0.21,6,89.25,81.18,91.94,1.29,0.19,6,85.57,81.96,92.27,1.19,0.2,6,85.28,79.19,90.86,1.26,0.18,6,85.86,81.82,90.91,1.16,0.19,6,83.84,77.78,90.91,1.14,0.17,7,84.88,79.51,90.73,1.07,0.17,7,82.44,74.63,89.27,1.02,0.16,9,81.46,74.15,88.29,1.04,0.17,9,82.04,74.27,88.83,1.07,0.16,9,82.52,74.27,88.83,1.09,0.17,9,82.78,74.64,88.52,1.09,0.17,9,82.86,74.76,88.57,1.11,0.17,9,83.89,76.3,89.1,0.96,0.15,10,80.57,73.46,83.89,0.95,0.15,10,80.57,73.93,83.41,0.95,0.14,10,79.81,74.04,82.69,0.96,0.14,10,80.29,75.48,84.13,0.93,0.15,10,80.29,73.56,83.65,0.87,0.13,10,80.77,73.56,82.21
Paraguay,PRY,-1.17,0.26,4,10.22,0.54,27.42,-1.34,0.22,5,3.09,0.52,17.01,-1.38,0.21,6,3.55,0,13.71,-1.34,0.19,7,2.53,0,13.13,-1.39,0.18,8,3.54,0,10.1,-1.37,0.17,10,5.37,0.49,12.68,-1.32,0.17,11,5.85,0.49,14.63,-1.14,0.17,13,9.76,3.9,19.51,-1.18,0.17,13,8.74,2.43,18.93,-0.98,0.17,13,16.5,4.85,28.16,-0.8,0.16,13,22.97,13.4,35.41,-0.73,0.16,13,25.71,16.67,39.05,-0.72,0.16,13,24.17,17.54,39.34,-0.86,0.15,14,20.38,11.85,31.75,-1.04,0.16,14,14.22,6.16,22.27,-0.97,0.15,13,15.38,9.13,27.4,-0.95,0.15,13,15.87,10.58,26.44,-0.71,0.15,13,26.92,13.94,36.54,-0.72,0.14,12,25,15.38,38.94
Qatar,QAT,-0.05,0.26,4,54.84,37.63,66.13,0.5,0.23,4,69.59,61.34,79.38,0.53,0.26,4,72.59,59.9,82.74,0.68,0.2,5,76.77,68.18,82.32,0.54,0.24,4,73.74,61.11,81.31,0.52,0.23,4,72.2,58.54,81.46,0.71,0.2,5,73.66,65.85,81.95,0.93,0.19,6,79.51,73.17,84.88,0.68,0.2,6,74.27,67.96,80.1,0.94,0.2,6,79.13,73.79,84.95,1.57,0.16,10,91.39,86.12,93.78,1.41,0.17,10,89.05,84.29,92.38,1.01,0.17,9,80.09,72.99,88.15,1.06,0.16,9,81.52,76.3,87.2,1.11,0.16,9,81.99,77.25,89.1,0.99,0.15,9,80.29,74.52,87.02,0.89,0.15,8,78.37,73.08,83.17,0.9,0.16,8,79.81,72.6,83.17,0.73,0.14,8,76.44,68.27,80.77
Réunion,REU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0.4,1,82.93,65.85,91.71,0.8,0.34,1,77.56,61.95,89.27,0.78,0.42,1,76.59,59.51,91.71,0.79,0.42,1,76.7,59.71,91.75,0.81,0.4,1,77.18,61.65,91.75,0.84,0.43,1,77.03,61.24,90.91,0.82,0.43,1,77.14,60.95,90.95,0.8,0.42,1,75.83,61.14,89.57,0.79,0.43,1,76.3,60.66,90.52,0.79,0.44,1,76.78,59.72,89.57,0.64,0.42,1,74.04,55.29,88.94,0.63,0.42,1,72.6,55.77,89.42,0.64,0.42,1,72.12,55.77,89.42,0.64,0.4,1,73.08,56.25,88.46
Romania,ROM,-0.45,0.26,4,39.25,19.89,56.99,-0.62,0.19,6,31.96,19.59,44.85,-0.49,0.18,8,36.04,26.4,49.24,-0.44,0.16,8,40.4,29.8,52.53,-0.37,0.15,10,43.43,32.32,55.56,-0.3,0.14,12,46.83,35.61,54.15,-0.24,0.13,12,50.24,40.98,56.1,-0.16,0.13,15,53.17,40.49,58.54,-0.18,0.13,15,52.91,40.29,57.77,-0.14,0.13,14,53.88,43.2,59.71,-0.26,0.13,14,49.76,37.8,56.94,-0.23,0.13,14,52.38,40.48,56.67,-0.21,0.13,15,52.61,40.28,57.35,-0.26,0.12,15,48.82,38.86,56.4,-0.19,0.12,14,53.08,43.13,59.24,-0.11,0.12,14,53.85,46.63,59.13,-0.02,0.12,14,57.21,52.4,62.5,-0.02,0.13,13,56.73,50,62.02,-0.03,0.12,13,55.29,49.04,60.58
Russian Federation,RUS,-1.05,0.21,6,15.05,2.69,29.03,-0.98,0.16,8,16.49,6.7,30.93,-1,0.17,9,15.74,5.58,27.92,-0.93,0.15,9,19.7,7.07,31.31,-0.76,0.15,10,26.26,12.63,35.35,-0.8,0.14,11,23.9,14.15,33.66,-0.82,0.13,11,21.95,15.61,33.66,-0.91,0.13,14,19.51,10.73,27.8,-1.01,0.13,14,16.99,7.28,20.87,-1.11,0.13,14,12.14,4.37,17.96,-1.13,0.13,14,11,3.83,19.14,-1.09,0.13,14,13.33,3.81,19.52,-1.07,0.13,15,15.17,5.69,20.38,-1.04,0.12,15,14.69,8.53,21.33,-1.01,0.12,14,15.64,9.48,21.8,-0.92,0.12,13,17.31,12.5,27.4,-0.95,0.12,13,15.38,10.58,24.52,-0.82,0.13,13,19.71,12.98,32.21,-0.89,0.12,13,17.31,12.02,25.96
